,Song,Album Debut,Songwriter(s),Lead Vocal(s),Year,Lyrics
219,That Would Be something,McCartney,McCartney,McCartney,1970,"That would be something, It really would be something, That would be something, To meet you in the falling rain, momma, Meet you in the falling rain.  Oo-hmm-hmm, Oo-hmm-hmm, Oo-hmm-hmm, Meet you in the falling rain, momma, Meet you in the falling rain.  That would be something, It really would be something, Mm, that would be something, To meet you in the falling rain, momma, Meet you in the falling rain.  Meet you in the falling rain, momma, Meet you in the falling rain. Meet you in the falling rain, momma, Meet you in the falling rain.  That would be something, It really would be something, That would be something, To meet you in the falling rain, momma, Meet you in the falling rain. Meet you in the falling rain, momma, Meet you in the falling rain.  Oh, oh.  Meet you in the falling rain, momma, Meet you in the falling rain. Meet you in the falling rain, momma, Meet you in the falling rain.  Oh! Oh!  Uh, now, meet you in the falling rain, momma, Meet you in the falling rain. I meet you in the falling rain, momma, Meet you in the falling rain. Meet you in the falling rain, momma, Meet you in the falling rain. Uh, meet you in the falling rain, momma, Meet you in the falling rain."
220,Every Night,McCartney,McCartney,McCartney,1970,"Ev'ry night i just wanna go out, Get out of my head. Ev'ry day i don't wanna get up, Get out of my bed. Ev'ry night i want to play out And ev'ry day i wanna do-ooh-ooh-ooh-ooh. But tonight i just wanna stay in And be with you-oo, And be with you.  Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh, Ooh-ooh-ooh-ooh. Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh, Ooh-ooh-ooh-ooh.  Ev'ry day i lean on a lamp post, I'm wasting my time. Ev'ry night i lay on a pillow, I'm resting my mind. Ev'ry morning brings a new day And ev'ry night that day is throuough. But tonight i just wanna stay in And be with you, And be with you.  Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh, Ooh-ooh-ooh-ooh, believe me, momma. Ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh-ooh, momma, Ooh-ooh-ooh-ooh.  Ooh-ooh-ooh-ooh........"
221,Junk ,McCartney,McCartney,McCartney,1970,"Motor cars, handle bars, Bicycles for two. Broken hearted jubilee.  Parachutes, army boots, Sleeping bags for two. Sentimental jamboree.  Buy! buy! Says the sign in the shop window. Why? why? Says the junk in the yard.  Da da ya da da da, Da da da, Da da ya da da, Da da da da da da da.  Candlesticks, building bricks, Something old and new. Memories for you and me.  Buy! buy! Says the sign in the shop window. Why? why? Says the junk in the yard."
222,Oo You,McCartney,McCartney,McCartney,1970,"Look like a woman, Dressed like a lady. Talk like a baby, ooh-ooh, Love like a woman, ooh-ooh-ooh-ooh.  Ooh-ooh, you, Ow! Ooh, you.  Walk like a woman, ooh-ooh, Sing like a blackbird, ah-ha. Eat like a hungry, ooh-ooh, Cook like a woman, ooh-ooh-ooh-ooh.  Ooh-ooh, woman, oh-oh-oh. Ow! Ooh-ooh-ooh-ooh-ooh-ooh, Ooh, you.  Look like a woman, Oo-oo-oo, dressed like a lady. Oo-oo-oo, talk like a baby, Golly, golly, golly, golly, go, go, ooh. Love like a woman, ooh-ooh-ooh-ooh. Ooh....."
223,Man We Was Lonely ,McCartney,McCartney,McCartney,1970,"Look like a woman, Dressed like a lady. Talk like a baby, ooh-ooh, Love like a woman, ooh-ooh-ooh-ooh.  Ooh-ooh, you, Ow! Ooh, you.  Walk like a woman, ooh-ooh, Sing like a blackbird, ah-ha. Eat like a hungry, ooh-ooh, Cook like a woman, ooh-ooh-ooh-ooh.  Ooh-ooh, woman, oh-oh-oh. Ow! Ooh-ooh-ooh-ooh-ooh-ooh, Ooh, you.  Look like a woman, Oo-oo-oo, dressed like a lady. Oo-oo-oo, talk like a baby, Golly, golly, golly, golly, go, go, ooh. Love like a woman, ooh-ooh-ooh-ooh. Ooh....."
224,Teddy Boy,McCartney,McCartney,McCartney,1970,"This is the story of a boy named ted, If his mother said, ""ted, be good."" He would.  She told him tales about his soldier dad, But it made her sad, then she'd cry. Oh my.  Ted used to tell her he'd be twice as good, And he knew he could, 'cause in his head, He said:  ""mommy don't worry, now teddy boy's here, Taking good care of you. Mommy don't worry, your teddy boy's here, Teddy's gonna see you through.""  Then came the day she found herself a man, Teddy turned and ran, far away, Ok  He couldn't stand to see his mother in love With another man, he didn't know. Oh no.  He found a place where he could settle down And from time to time, in his head, He said:  ""mommy don't worry, now teddy boy's here, Taking good care of you. Mommy don't worry, your teddy boy's here, Teddy's gonna see you through.""  She said:  ""teddy don't worry, now mummy is here, Taking good care of you. Teddy don't worry, your mummy is here, Mummy's gonna see you through.""  Ooh - Ah -ooh  This is the story of a boy named ted, If his mother said, ""ted, be good."" He would."
225,Maybe I'm Amazed,McCartney,McCartney,McCartney,1970,"Baby, I'm amazed at the way you love me all the time And maybe I'm afraid of the way I love you  Maybe I'm amazed at the way you pulled me out of time You hung me on the line Maybe I'm amazed at the way I really need you  Baby, I'm a man, maybe I'm a lonely man Who's in the middle of something That he doesn't really understand  Baby, I'm a man And maybe you're the only woman who could ever help me Baby, won't you help me to understand? Ooh-ooh-ooh-ooh-ooh-ooh  Oh yeah, yeah, yeah, yeah Oh, oh, oh Oh, oh, oh, oh Oh  Baby, I'm a man, maybe I'm a lonely man Who's in the middle of something That he doesn't really understand  Baby, I'm a man And maybe you're the only woman who could ever help me Baby, won't you help me to understand? Ooh-ooh-ooh-ooh-ooh-ooh  Maybe I'm amazed at the way you're with me all the time Maybe I'm afraid of the way I leave you  Maybe I'm amazed at the way you help me sing my song Right me when I'm wrong Maybe I'm amazed at the way I really need you"
226,Too Many People,Ram,McCartney,McCartney,1971,"Too many people going underground, Too many reaching for a piece of cake. Too many people pulled and pushed around, Too many waiting for that lucky break.  That was your first mistake, You took your lucky break and broke it in two. Now what can be done for you? You broke it in two.  Too many people sharing party lines, Too many people never sleeping late. Too many people paying parking fines, Too many hungry people losing weight.  That was your first mistake, You took your lucky break and broke it in two. Now what can be done for you? You broke it in two.  Mm-mm-uh-uh.  Uh!  Too many people preaching practices, Don't let 'em tell you what you wanna be. Too many people holding back, This is crazy, and baby, it's not like me.  That was your last mistake, I find my love awake and waiting to be. Now what can be done for you? She's waiting for me"
227,3 Legs,Ram,McCartney,McCartney,1971,"Well, when I walk, when I walk, Walk my horse upon a hill. Well, when I walk, walk, walk, walk, Walk my horse upon a hill. When I lay me down, Will my lover love me still?  A dog is here, A dog is there, My dog he got three legs But he can't run.  Well, when I thought, well, I thought, When I thought you was my friend. When I thought, well, I thought, When I thought you was my friend. But you let me down, ho, Put my heart around the bend.  A fly flies in, A fly flies out, Most flies they got three legs But mine got one.  Well, when I fly, when I fly, when I fly, When I fly above the clouds. Oh, when I fly, when I fly, when I fly, When I fly above the clouds. You can knock me down, with a feather, yes, you could, But you know it's not allowed.  A dog is here, A dog is there, My dog he got three legs But he can't run.  My dog he got three legs, your dog he got none, uh, uh, uh, My dog he got three legs, your dog he got none, My dog he got three legs, your dog he got none."
228,Ram On,Ram,McCartney,McCartney,1971,"Ram on, give your heart to somebody, Soon, right away, right away. Ram on, give your heart to somebody, Soon, right away, right away."
229,Dear Boy ,Ram,McCartney,McCartney,1971,"I guess you never knew, dear boy, what you have found, I guess you never knew, dear boy, That she was just the cutest thing around, I guess you never knew what you have found, Dear boy.  I guess you never knew, dear boy, That love was there. And maybe when you look to hard, dear boy, You never do become aware, I guess you never did become aware, Dear boy.  When i stepped in, my heart was down and out, But her love came through and brought me 'round, Got me up and about.  Dear boy, Dear boy, dear boy, Dear boy.  When i stepped in, my heart was down and out, But her love came through and brought me 'round, Got me up and about.  I hope you never know, dear boy, How much you missed. And even when you fall in love, dear boy, It won't be half as good as this. I hope you never know how much you missed, Dear boy, how much you missed"
230,Uncle Albert / Admiral Halsey,Ram,McCartney,McCartney,1971,"We're so sorry, uncle Albert, We're so sorry if we caused you any pain. We're so sorry, uncle Albert, But there's no one left at home And I believe I'm gonna rain.  We're so sorry, but we haven't heard a thing all day, We're so sorry, uncle Albert, But if anything should happen We'll be sure to give a ring.  ""We're so sorry, uncle Albert, But we haven't done a bloody thing all day. We're so sorry, uncle Albert, But the kettle's on the boil And we're so eas'ly called away.""  Uh-uh-uh-uh-uh-uh-uh-uh, Doo-uh-uh-uh-uh-uh-uh-uh-uh, Uh-uh -  Hands across the water, heads across the sky, Hands across the water, heads across the sky.  Admiral Halsey notified me, He had to have a berth or he couldn't get to sea. I had another look and I had a cup of tea and a butter pie.  ""Butter pie?"" ""The butter wouldn't melt, so I put it in the pie, alright!""  Hands across the water, heads across the sky, Hands across the water, heads across the sky.  Live a little, be a gypsy, get around, Get your feet up off the ground, Live a little, get around.  Live a little, be a gypsy, get around, Get your feet up off the ground, Live a little, get around.  Hands across the water, heads across the sky, Hands across the water, heads across the sky."
231,Smile Away,Ram,McCartney,McCartney,1971,"I was walking down the street the other day, Who did i meet? I met a friend of mine and he did say: ""man, i can smell your feet a mile away.""  Smile away, smile away, smile away, yeah, smile away, Smile away, smile away, smile away, yeah, smile away.  Yeah, smile away, smile away, smile away, yeah, smile away, Smile away, smile away, smile away, yeah, smile away.  I was walking down the street the other day, Ah, who did i meet? I met a friend of mine and he just said: ""man, i can smell your breath a mile away.""  Smile away, smile away, smile away, yeah, smile away, oh, Ho! smile away, smile away, smile away, yeah, smile away.  Ah, smile away sweetly now, Come on now, ooh, sweetly smile away, Yes, sir! smile away, Now, smile away quietly now, Oooh, ho, ho, ho.  Smile away horribly now, Smile away, smile away, smile away, Yes, sir! smile away, Ah-oh, Ooh.  Ah, who did i meet? I met a friend of mine and he did say: ""man, i can smell your teeth a mile away.""  Smile away, uhhh, smile away, uhhh, Smile away, uhhh, smile away, uhhh, Smile away, uhhh, smile away, uhhh, Smile away, uhhh, smile away,"
232,Heart Of the Country,Ram,McCartney,McCartney,1971,"I look high, I look low, I'm lookin' ev'rywhere I go, Lookin' for a home in the heart of the country.  I'm gonna move, I'm gonna go, I'm gonna tell ev'ryone I know, Lookin' for a home in the heart of the country.  Heart of the country where the holy people grow, Heart of the country, smell the grass in the meadow, Wo, wo, wo.  Want a horse, I want a sheep, I wanna get me a good night's sleep, Livin' in a home in the heart of the country.  I'm gonna move, I'm gonna go, I'm gonna tell ev'ryone I know, Livin' in a home in the heart of the country.  Heart of the country where the holy people grow, Heart of the country, smell the grass in the meadow, Wo, wo, wo.  Want a horse, I got a sheep, I'm gonna get me a good night's sleep, Livin' in a home in the heart of the country.  I'm gonna move, I'm gonna go, Gonna tell ev'ryone I know, oo-oo-oo In the heart of the country.  Heart of the country where the holy people grow, Heart of the country, smell the grass in the meadow, Wo, wo, wo."
233,MonkBerry Moon Light,Ram,McCartney,McCartney,1971,"So I sat in the attic, a piano up my nose And the wind played a dreadful cantata Sore was I from a crack of an enemy's hose And the horrible sound of tomato  Ketchup Soup and puree Don't get left behind Ketchup Soup and puree Don't get left behind  When a rattle of rats had awoken The sinews, the nerves and the veins My piano was boldly outspoken In attempts to repeat this refrain  So I stood with a knot in my stomach And I gazed at that terrible sight Of two youngsters concealed in a barrel Suckin' monkberry moon delight, ho! Monkberry moon delight Monkberry moon delight Monkberry moon delight Monkberry moon delight  Oh Oh-oh, oh-oh  Well, I know my banana is older than the rest And my hair is a tangled beretta (beretta, beretta) And when I leave my pyjamas to Billy Budapest And I don't get the gist of your letter  Catch up Cats and kittens Don't get left behind Catch up Cats and kittens Don't get left behind  Oh - monkberry moon delight, yeah Monkberry moon delight Monkberry moon delight Oh, oh, oh, oh, oh, oh Monkberry moon delight, yeah, yeah, yeah Monkberry moon delight Oh, monkberry moon delight Oh, monkberry moon delight Monkberry moon delight, oh-oh Monkberry moon delight Suckin' monkberry moon delight  Monkberry moon delight  Monkberry moon delight  Monkberry moon delight  Ah, monkberry moon delight, yeah, yeah  Monkberry moon delight, oh, oh, oh, oh, oh, oh  Oh, oh, oh, oh, oh  Uh, monkberry moon delight  ""Try some of this, honey! ""What is it?""  Monkberry moon delight, ah, ah, ah, ah, ah, ah Ah, ah, ah, ah, ah (Ooh) monkberry moon delight Uh, monkberry moon delight Monkberry moon delight Monkberry moon delight"
234,Eat At Home,Ram,McCartney,McCartney,1971,"Come on, little lady, Lady, let's eat at home. Come on, little lady, Lady, let's eat at home. Eat at home, eat at home.  Come on, little lady, Lady, let's eat in bed. Come on, little lady, Lad, let's eat in bed, Eat in bed, eat in bed.  Bring the love that you feel for me Into line of the love i see. And in the morning you bring to me Love  Come on, little lady, Lady, now don't do that. Come on, little lady, Lady, now don't do that, (don't do that) Don't do that, don't do that.  Uh-uh-uh-uh, Uh-uh-uh-uh, Uh-uh-uh  Love  Come on, little lady, Lady, let's eat at home, mm-ho! Come on, little lady, Lady, let's eat at home. Eat at home, eat at home.  Oh-oh!  Oh, Oh.  Bring the love that you feel for me Into line of the love i see. And in the morning you bring to me Love -.  Oh, come on, little lady, (come on) Lady, now don't do that. (oh, come on, come on, come on) Come on, little lady, (yeah, yeah) Lady, now don't do that, uh, Don't do that, Don't do that, Don't do that, Don't do that, Oh no!"
235,Long Haired Lady,Ram,McCartney,McCartney,1971,"Well, well, well, well, well, Do you love me like you know you ought to do? Well, well, well, well, well, Or is this the only thing you want me for?  Well, I've been meaning to talk to you about it for some time, Sweet little lass you are my long haired lady.  Who's the lady that makes that brief occasional laughter? She's the lady who wears those flashing eyes. Who'll be taking her home when all the dancing is over? I'm the lucky man she will hypnotise.  Long haired lady, Long haired lady.  Bees are buzzing around my sweet, delectable baby, Birds are humming about their big surprise. Who's your favourite person, dear phenomenal lady? I belong to the girl with the flashing eyes.  Long haired lady, Long haired lady.  Ooh-ooh-ooh Ooh-ooh-ooh. Ah, love is long, love is long, love is long. Ah, sing your song, love is long, love is long. Ah, when you're wrong, love is long, love is long. Win or lose it, into the soul, love is long, love is long. Ah, when you're wrong, love is long, love is long.  Well, well, well, well, well, Do you love me like you know you ought to do? Well, well, well, well, well, Or is this the only thing you want me for?  Well, i've been meaning to talk to you about it for some time, Sweet little lass you are my long haired lady.  Oo-uh-uh-uh  Ah, love is long, love is long, love is long. Ah, sing your song, love is long, love is long. Ah, when you're wrong, love is long, love is long. Ah, when you're wrong, love is long, love is long. Win or lose it, into the soul, love is long, love is long. Ah, sing your song, love is long, love is long. Win or lose it, into the soul, love is long, love is long.  Yes, love is long, love is long, love is long, Ah, love is long, love is long, love is long, Ah, love is long, love is long, love is long,  Ooh! ooh!  Yes, love is long, love is long, love is long, Yes, sing your song, love is long, love is long. Win or lose it, into the soul, love is long, yes, love is long."
236,Ram On (Reprise),Ram,McCartney,McCartney,1971,"Ram on, give your heart to somebody, Soon, right away, right away. Ram on, give your heart to somebody, Soon, right away, right away."
237,The Back Seat Of My Car,Ram,McCartney,McCartney,1971,"Speed along the highway, Honey, i want it my way. But listen to her daddy's song, Don't stay out too long. Oo, we're just busy hiding, Sitting in the back seat of my car.  Looking for a ride and all about, Looking for a ride in and out of town, Strolling around and all about, Looking for a ride in and out of...  The laser lights are pretty, We may end up in mexico city. But listen to her daddy's song, Making love is wrong. Oo, we're just busy riding, Sitting in the back seat of my car.  Oh,oh,.... Pah-pah-pah-pah-pah-pah, Pah-pah-pah-pah-pah-pah-pah. For we was only hiding, Sitting in the back seat of my car.  Yeah, .  And when we finished driving, We can say we were late in arriving. And listen to her daddy's song, We believe that we can't be wrong, yeah!  Oh-oh, we believe that we can't be wrong, Oh-oh, we believe that we can't be wrong, We can make it to mexico city, Sitting in the back seat of my car. Oh,oh,...  Oh-oh, we believe that we can't be wrong, Oh-oh, we believe that we can't be wrong, Oh-oh, we believe that we can't be wrong, Oh-oh, we believe that we can't be wrong, Oh-oh, we believe that we can't be wrong, Oh-oh, we believe that we can't be wrong, No, no, no, ... We believe we can't be wrong, Yeah! yeah! yeah! Oh-oh, oh-oh, yeah, oh, yeah."
238,Another Day,Ram,McCartney,McCartney,1971,"Every day she takes a morning bath, she wets her hair, Wraps a towel 'round her as she's heading for the bedroom chair, It's just another day. Slippin' into stockings, Steppin' into shoes, Dippin' in the pocket of her raincoat,  It's just another day.  At the office where the papers grow she takes a break, Drinks another coffee and she finds it hard to stay awake,  It's just another day, Choo choo choo choo choo choo, It's just another day, Choo choo choo choo choo choo, It's just another day.  So sad, so sad, Sometimes she feels so sad, Alone in her apartment she'd dwell, Til the man of her dreams comes to break the spell.  Ah... Stay, Don't stand her up, Then he comes and he stays, But he leaves the next day... so sad, Sometimes she feels so sad...  As she posts another letter to the sound of five, People gather 'round her and she finds it hard to stay alive,  It's just another day, Choo choo choo choo choo choo, It's just another day, Choo choo choo choo choo choo, It's just another day.  So sad, so sad, Sometimes she feels so sad, Alone in her apartment she'd dwell, 'Til the man of her dreams comes to break the spell.  Ah... Stay, Don't stand her up, And he comes and he stays, But he leaves the next day... so sad, Sometimes she feels so sad.  Everyday she takes a morning bath, she wets her hair, Wraps a towel 'round her as she's heading for the bedroom chair, It's just another day.  Slippin' into stockings, Steppin' into shoes, Dippin' in the pocket of her raincoat,  Ah, It's just another day, Choo choo choo choo choo choo, It's just another day, Choo choo choo choo choo choo, It's just another day."
239,"Oh Woman, Oh Why",Ram,McCartney,McCartney,1971,"Oh woman, oh why, why, why, why What have I done Oh woman, oh where, where, where, where, where Did you get that gun Oh what have I done What have I done  Well I met her at the bottom of a well (of a well) Well I told here I was tryin' to break a spell (break a spell) But I can't get by, my hands are tied don't why I ever got her to try myself cause I can't get by, my hands are tied  Oh woman, oh why, why, why, why What have I done Oh woman, oh where, where, where, where, where Did you get that gun  Oh what have you done Woman what have you done  Well I am fed up with you lying cheating ways (cheating ways) But I get up every morning and every day (every day) But I can't get by , my hands are tied Don't why I want her to try myself Cause I can't get by, my hands are tied  Oh woman, oh why, why, why, why What have I done Oh woman, oh where, where, where, where, where Did you get that gun  Woman, what have I done What have you done What have I done"
240,Imagine,Imagine,Lennon,Lennon,1971,"Imagine there's no heaven It's easy if you try No hell below us Above us only sky Imagine all the people Living for today... Aha-ah...  Imagine there's no countries It isn't hard to do Nothing to kill or die for And no religion, too Imagine all the people Living life in peace... You...  You may say I'm a dreamer But I'm not the only one I hope someday you'll join us And the world will be as one  Imagine no possessions I wonder if you can No need for greed or hunger A brotherhood of man Imagine all the people Sharing all the world... You...  You may say I'm a dreamer But I'm not the only one I hope someday you'll join us And the world will live as one"
241,Cripple Inside,Imagine,Lennon,Lennon,1971,"You can shine your shoes and wear a suit You can comb your hair and look quite cute You can hide your face behind a smile One thing you can't hide Is when you're crippled inside  You can wear a mask and paint your face You can call yourself the human race You can wear a collar and a tie One thing you can't hide Is when you're crippled inside  Well now, you know that your cat has nine lives, babe Nine lives to itself But you only got one And a dog's life ain't fun Mama, take a look outside  You can go to church and sing a hymn You can judge me by the colour of my skin You can live a lie until you die One thing you can't hide Is when you're crippled inside  Take it, cousin  Well now, you know that your cat has nine lives, babe Nine lives to itself But you only got one And a dog's life ain't fun Mama, take a look outside  You can go to church and sing a hymn Judge me by the colour of my skin You can live a lie until you die One thing you can't hide Is when you're crippled inside One thing you can't hide Is when you're crippled inside  One thing you can't hide Is when you're crippled inside"
242,Jealus Guys,Imagine,Lennon,Lennon,1971,I was dreaming of the past and my heart was beating fast I began to lose control I began to lose control I didn't mean to hurt you I'm sorry that I made you cry Oh my I didn't want to hurt you I'm just a jealous guy  I was feeling insecure You might not love me anymore I was shivering inside I was shivering inside Oh I didn't mean to hurt you I'm sorry that I made you cry Oh my I didn't want to hurt you I'm just a jealous guy  [Whistling]  I didn't mean to hurt you I'm sorry that I made you cry Oh my I didn't want to hurt you I'm just a jealous guy  I was trying to catch your eyes I thought that you were trying to hide I was swallowing my pain I was swallowing my pain I didn't mean to hurt you I'm sorry that I made you cry Oh my I didn't want to hurt you I'm just a jealous guy watch out baby I'm just a jealous guy Look out baby I'm just a jealous guy
243,It's so hard,Imagine,Lennon,Lennon,1971,"You gotta live You gotta love You gotta be somebody You gotta shove But it's so hard, it's really hard Sometimes I feel like going down  You gotta eat You gotta drink You gotta feel something You gotta worry But it's so hard, it's really hard Sometimes I feel like going down  But when it's good It's really good And when I hold you in my arms baby Sometimes I feel like going down  You gotta run You gotta hide You gotta keep your woman satisfied But it's so hard, it's really hard Sometimes I feel like going down"
244,I don't want to be a soldier,Imagine,Lennon,Lennon,1971,"Well, I don't wanna be a soldier mama, I don't wanna die Well, I don't wanna be a sailor mama, I don't wanna fly Well, I don't wanna be a failure mama, I don't wanna cry Well, I don't wanna be a soldier mama, I don't wanna die Oh no, oh no, oh no, oh no  Well, I don't wanna be a rich man mama, I don't wanna cry Well, I don't wanna be a poor man mama, I don't wanna fly Well, I don't wanna be a lawyer mama, I don't wanna lie Well, I don't wanna be a soldier mama, I don't wanna die Oh no, oh no, oh no, oh no, hey  Well, I don't wanna be a soldier mama, I don't wanna die Well, I don't wanna be a thief now mama, I don't wanna fly Well, I don't wanna be a churchman mama, I don't wanna cry Well, I don't wanna be a soldier mama, I don't wanna die Oh no, oh no, oh no, oh no, oh no, hey  Oh well, I don't wanna be a soldier mama, I don't wanna die Well, I don't wanna be a sailor mama, I don't wanna fly Well, I don't wanna be a failure mama, I don't wanna cry Well, I don't wanna be a soldier mama, I don't wanna die Oh no, oh no, oh no, oh no, oh no"
245,Gimme Some truth,Imagine,Lennon,Lennon,1971,"I'm sick and tired of hearing things From uptight, short-sighted, narrow-minded hypocritics All I want is the truth Just gimme some truth Ive had enough of reading things By neurotic, psychotic, pig-headed politicians All I want is the truth Just gimme some truth  No short-haired, yellow-bellied, son of tricky dicky Is gonna mother hubbard soft soap me With just a pocketful of hope Money for dope Money for rope  No short-haired, yellow-bellied, son of tricky dicky Is gonna mother hubbard soft soap me With just a pocketful of soap Money for dope Money for rope  I'm sick to death of seeing things From tight-lipped, condescending, mamas little chauvinists All I want is the truth Just gimme some truth now  I've had enough of watching scenes Of schizophrenic, ego-centric, paranoiac, prima-donnas All I want is the truth now Just gimme some truth  No short-haired, yellow-bellied, son of tricky dicky Is gonna mother hubbard soft soap me With just a pocketful of soap Its money for dope Money for rope  Ah, I'm sick and tired of hearing things From uptight, short-sighted, narrow-minded hypocrites All I want is the truth now Just gimme some truth now  Ive had enough of reading things By neurotic, psychotic, pig-headed politicians All I want is the truth now Just gimme some truth now  All I want is the truth now Just gimme some truth now All I want is the truth Just gimme some truth All I want is the truth Just gimme some truth"
246,Oh My Love,Imagine,Lennon,Lennon,1971,"Oh my love for the first time in my life My eyes are wide open Oh my lover for the first time in my life My eyes can see  I see the wind, oh I see the trees Everything is clear in my heart I see the clouds, oh I see the sky Everything is clear in our world  Oh my love for the first time in my life My mind is wide open Oh my lover for the first time in my life My mind can feel  I feel sorrow, oh I feel dreams Everything is clear in my heart I feel life, oh I feel love Everything is clear in our world"
247,How do You Sleep?,Imagine,Lennon,Lennon,1971,"So sgt. pepper took you by surprise You better see right through that mother's eyes Those freaks was right when they said you was dead The one mistake you made was in your head How do you sleep? Ah how do you sleep at night?  You live with straights who tell you ""you was king"" Jump when your mamma tell you anything The only thing you done was yesterday And since you've gone you're just another day How do you sleep? Ah how do you sleep at night?  A pretty face may last a year or two But pretty soon they'll see what you can do The sound you make is muzak to my ears You must have learned something all those years How do you sleep? Ah how do you sleep at night?"
248,How?,Imagine,Lennon,Lennon,1971,"How can I go forward when I don't know which way I'm facing? How can I go forward when I don't know which way to turn? How can I go forward into something I'm not sure of? Oh no, oh no  How can I have feeling when I don't know if it's a feeling? How can I feel something if I just don't know how to feel? How can I have feelings when my feelings have always been denied? Oh no, oh no  You know life can be long And you got to be so strong And the world is so tough Sometimes I feel I've had enough  How can I give love when I don't know what it is I'm giving? How can I give love when I just don't know how to give? How can I give love when love is something I ain't never had? Oh no, oh no  You know life can be long You've got to be so strong And the world she is tough Sometimes I feel I've had enough  How can we go forward when we don't know which way we're facing? How can we go forward when we don't know which way to turn? How can we go forward into something we're not sure of? Oh no, oh no"
249,Oh Yoko!,Imagine,Lennon,Lennon,1971,"In the middle of the night In the middle of the night I call your name Oh Yoko, oh Yoko, my love will turn you on  In the middle of the bath In the middle of the bath I call your name Oh Yoko, oh Yoko, my love will turn you on My love will turn you on  In the middle of a shave In the middle of a shave I call your name Oh Yoko, oh Yoko, my love will turn you on  In the middle of a dream In the middle of a dream I call your name Oh Yoko, oh Yoko, my love will turn you on My love will turn you on  In the middle of a cloud In the middle of a cloud I call your name Oh Yoko, oh Yoko, my love will turn you on Oh Yoko, oh Yoko, oh Yoko, oh Yoko"
250,Woman Is The Nigger Of The World,Some Time In New York City,Lennon,Lennon,1972,"Woman is the nigger of the world Yes she is... think about it Woman is the nigger of the world Think about it... do something about it  We make her paint her face and dance If she won't be a slave, we say that she don't love us If she's real, we say she's trying to be a man While putting her down we pretend that she is above us Woman is the nigger of the world... yes she is If you don't believe me take a look to the one you're with Woman is the slave of the slaves Ah yeah... better scream about it We make her bear and raise our children And then we leave her flat for being a fat old mother hen We tell her home is the only place she should be Then we complain that she's too unworldly to be our friend Woman is the nigger of the world...yes she is If you don't believe me take a look to the one you're with Woman is the slave to the slaves Yeah (think about it)  We insult her everyday on TV And wonder why she has no guts or confidence When she's young we kill her will to be free While telling her not to be so smart we put her down for being so dumb Woman is the nigger of the world... yes she is If you don't believe me take a look to the one you're with Woman is the slave to the slaves Yes she is... if you believe me, you better scream about it"
251,"Sisters, O Sisters",Some Time In New York City,Lennon,Lennon,1972,"We lost our green land We lost our clean air We lost our true wisdom And we live in despair  Sisters, O sisters Lets stand up right now It's never too late To start from the start  O wisdom, O wisdom That's what we ask for And yes, my dear sisters We must learn to ask  Wisdom, O wisdom That's what we ask for That's what we live for now  Wisdom, O wisdom That's what we ask for That's what we live for now  Sisters, O sisters Let's wake up right on It's never too late To shout from our hearts  O freedom, O freedom That's what we fight for And yes, my dear sisters We must learn to fight  Freedom, O freedom That's what we ask for That's what we live for now  Freedom, O freedom That's what we ask for That's what we live for now  O sisters, O sisters Let's give up no more It's never too late To build a new world  O new world, O new world That's what we live for And yes, my dear sisters We must learn to live  New world, O new world That's what we live for That's what we must now learn to build  O new world, O new world That's what we live for That's what we must now learn to build  New world, O new world That's what we live for That's what we must now learn to build  New world, O new world That's what we live for That's what we must learn to build"
252,Attica State,Some Time In New York City,Lennon,Lennon,1972,"What a waste of human power What a waste of human lives Shoot the prisoners in the towers Forty-three poor widowed wives  Attica State, Attica State, we're all mates with Attica State  Media blames it on the prisoners But the prisoners did not kill ""Rockefeller pulled the trigger"" That is what the people feel  Attica State, Attica State, we're all mates with Attica State  Free the prisoners, jail the judges Free all the prisoners everywhere All they want is truth and justice All they need is love and care  Attica State, Attica State, we're all mates with Attica State  They all live in suffocation Let's not watch them die in sorrow Now's the time for revolution Give them all a chance to grow  Attica State, Attica State, we're all mates with Attica State  Come together, join the movement Take a stand for human rights Fear and hatred clouds our judgement Free us all from endless night  Attica State, Attica State We are all mates with Attica State Attica State, Attica State We all live in Attica State Attica State, Attica State Attica, Attica, Attica State"
253,Born In A Prison,Some Time In New York City,Lennon,Lennon,1972,"We are born in a prision, raised in a prision Send to a prision called school,  We cry in a prision, We love in a prision, We live in a prision, like fools.  Wood becomes a flut when it's loved, reach for your self and your battered mates. Mirror becomes a razor when it's broken, Look in a mirror and see your shattered fate.  We live with no reason, Kicked around for no reason, Thrown out without reason like tools.  Work in a prision And hate in aprision And die in a prision as a rule.  We live in a prision Among judges and wardnes And wait for no reason or use We laugh in a prision, Go through all four seasons And die with no vision or truth"
